CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.01;Lucro Líquido Consolidado do Período;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.01;Lucro Líquido Consolidado do Período;692329.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.02;Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.02;Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.02.01;Resultado de operações descontinuadas;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.02.01;Resultado de operações descontinuadas;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.03;Resultado Abrangente Consolidado do Período;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.03;Resultado Abrangente Consolidado do Período;692329.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.03.01;Atribuído a Sócios da Empresa Controladora;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.03.01;Atribuído a Sócios da Empresa Controladora;692329.0000000000;S
