CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1450524.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1499749.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-722046.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-952029.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.02.01;Custo das vendas e serviços;-757576.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.02.01;Custo das vendas e serviços;-915848.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.02.02;Variação do valor justo do ativo biológico;35530.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.02.02;Variação do valor justo do ativo biológico;-36181.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.03;Resultado Bruto;728478.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.03;Resultado Bruto;547720.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04;Despesas/Receitas Operacionais;21462.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04;Despesas/Receitas Operacionais;438396.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.01;Despesas com Vendas;-99262.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.01;Despesas com Vendas;-135603.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.02;Despesas Gerais e Administrativas;-100771.0000000000;S
