CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;6.01;Caixa Líquido Atividades Operacionais;135713.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;6.01;Caixa Líquido Atividades Operacionais;153538.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;6.01.01;Caixa Gerado nas Operações;206025.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;6.01.01;Caixa Gerado nas Operações;169460.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;6.01.02;Variações nos Ativos e Passivos;-70312.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;6.01.02;Variações nos Ativos e Passivos;-15922.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;6.01.03;Outros;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;6.01.03;Outros;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;6.02;Caixa Líquido Atividades de Investimento;-78024.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;6.02;Caixa Líquido Atividades de Investimento;-66708.0000000000;S
