CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.01;Receita de Venda de Bens e/ou Serviços;421455.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.01;Receita de Venda de Bens e/ou Serviços;367142.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-132461.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-147786.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.03;Resultado Bruto;288994.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.03;Resultado Bruto;219356.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04;Despesas/Receitas Operacionais;-103791.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04;Despesas/Receitas Operacionais;-126771.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.02;Despesas Gerais e Administrativas;-92974.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.02;Despesas Gerais e Administrativas;-105610.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.04;Outras Receitas Operacionais;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.04;Outras Receitas Operacionais;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.05;Outras Despesas Operacionais;-3485.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.05;Outras Despesas Operacionais;-13719.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.06;Resultado de Equivalência Patrimonial;-7332.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.06;Resultado de Equivalência Patrimonial;-7442.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;185203.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;92585.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06;Resultado Financeiro;15650.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06;Resultado Financeiro;45207.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.01;Receitas Financeiras;21938.0000000000;S
